lo mlatu cu pinxe lo ladru	Cats drink milk.
lo plise cu kukte	Apples are tasty.
karce	Car!
carvi	It is raining.
prami	Someone loves.
bajra	Someone runs.
mi	I
do	you
mi'ai	we
ti	this one
ta	that one
tu	that one over there
mi pinxe	I drink.
do pinxe	You drink.
ti ladru	This is some milk.
ta mlatu	That is a cat.
do citka lo plise	You eat apples.
mi prami do	I love you.
mi'ai citka	We eat.
mi pinxe lo ladru	I drink milk.
mi citka lo plise	I eat apples.
.i mi viska lo mlatu .i lo mlatu cu pinxe lo ladru	I see cats. Cats drink milk.
lo mlatu cu pinxe lo ladru	Cats drink milk.
lo mlatu cu pinxe lo ladru	A cat drinks milk.
ta plise	That is an apple.
lo ladru cu kukte	Milk is tasty.
do prami mi	You love me.
mi'ai citka lo plise	We eat apples.
pa	1
re	2
ci	3
vo	4
mu	5
xa	6
ze	7
bi	8
so	9
no	0
ro	all
lo pa mlatu cu pinxe lo ladru	One cat drinks milk.
lo re mu mlatu cu pinxe lo ladru	25 cats drink milk.
lo ro mlatu cu pinxe lo ladru	All cats drink milk.
ci lo re mu mlatu cu pinxe lo ladru	Three out of 25 cats are drinking milk.
ro lo mlatu cu pinxe lo ladru	Each, every cat drinks milk.
lo pa mlatu cu pinxe	A cat is drinking.
lo za'u mlatu cu pinxe	Cats are drinking.
za'u lo mlatu cu pinxe	More cats are drinking.
me'i lo mlatu cu pinxe	Fewer cats are drinking.
lo za'u ci mlatu cu pinxe	More than three cats are drinking.
me'i ci lo mu mlatu cu pinxe	Less than three out of five cats are drinking.
lo mu prenu cu klama lo zarci	Five people go to the market.
pa no lo pa no no prenu cu stati .i do stati	10 out of 100 people are smart. You are smart.
lo prenu cu nelci lo plise	People like apples. or A person likes apples.
lo za'u prenu cu nelci lo plise .i za'u lo prenu cu nelci lo najnimre .i me'i lo prenu cu nelci lo badna	People like apples. More people like oranges. Fewer people like bananas.
za'u re lo mu prenu cu stati	More than two out of five people are smart.
lo re mu xa mlatu cu stati	256 cats are smart.
lo me'i pa re plise cu kukte	Fewer than 12 apples are tasty.
lo ro prenu cu citka .i me'i lo prenu cu citka lo najnimre	All people eat. Fewer people eat oranges.
tu melbi zdani	That is a nice home over there.
do melbi dansu	You nicely dance.
lo mlatu cu pinxe lo ladru	A cat drinks milk.
lo melbi fetsi	beautiful female.
do sutra klama	You quickly go. You go fast.
ta barda zdani	That is a big home.
lo sutra bajra mlatu	a quickly running cat
lo sutra mlatu	a quick cat
lo bajra mlatu	a running cat
ti cmalu verba	This is a small child.
lo kukte plise	tasty apple
lo sutra citka	quick eater
do sutra klama nakni	You are a quickly going male.
xu do nelci lo gerku	Do you like dogs?
xu mi klama	Am I coming?
xu pelxu	Is it yellow?
do nelci lo barda xu gerku	Do you like BIG dogs?
je'u	Yes.
je'u nai	No.
je'u do lazni	Truly you are lazy.
je'u nai mi nelci lo gerku	It is false that I like dogs.
xu lo barda zdani cu melbi	Is the big home beautiful?
lo re nakni cu stati xu	Are the two men smart?
je'u nai	No.
do klama lo zarci xu	Do you go to the market?
xu lo pa verba cu prami lo ci mlatu	Does the child love the three cats?
xu lo pa karce cu sutra	Is the car fast?
xu lo pa najnimre cu kukte	Is the orange tasty?
je'u	Yes, it is.
xu lo pa fetsi cu prami do	Does the female love you?
do ko'oi bajra	Run!
ko bajra	Do run!
nelci ko	Make it so you are liked by someone!
do ko'oi kurji do ko'oi	Take care of yourself.
ko kurji ko	Take care of yourself.
mi'ai ko'oi klama	Let's go.
ko'oi klama	Let's go.
.e'o do lebna lo cukta	Could you take the book, please?
ko sutra bajra	Run quickly!
.e'o do pinxe lo tcati	Please, drink tea!
ko catlu lo skina	Watch a film!
ko stati	Be smart!
ko klama lo zdani	Go home!
.e'o do pinxe lo ckafi	Please, drink coffee!
.e'o do kurji lo verba	Please, take care of the child.
lo melbi je cmalu zdani	A pretty and small home is here.
lo melbi cmalu zdani cu zvati	A prettily small home is here.
mi .e do nelci lo jisra	I like juice, and you like juice.
mi je do nelci lo plise	I like apples, and you like apples.
mi nelci lo plise je lo jisra	I like apples and juice.
lo verba cu fengu ja bilma	The child is angry or ill 
lo karce cu blabi jo nai grusi	The car is either white or gray.
mi prami do .i ju do fenki	I love you. Whether or not you are crazy.
lo nanla ce lo nixli cu klama lo panku	A boy with a girl go to a park.
lo nanla e lo nixli cu klama lo panka	A boy goes to a park, and a girl goes to a park.
lo nanla ce lo nixli cu casnu lo karce	A boy and a girl discuss a car.
lo nanla e lo nixli cu casnu lo karce	A boy discusses a car, and a girl discusses a car.
lo nanla ce nixli cu casnu lo karce	Someone who is a boy and a girl discusses a car.
lo nanla ce lo nixli cu casnu lo karce	A boy and a girl discuss a car.
mi nelci lo badna .e lo plise	I like bananas, and I like apples.
do sutra ja stati	You are quick or smart or both.
lo za'u prenu cu casnu lo karce .u lo gerku	The people discuss cars whether or not (they discuss) dogs.
mi citka lo najnimre .o nai lo badna	I eat either oranges or bananas.
lo fetsi .e lo nakni cu nelci lo carvi	Females like rain, and males like rain.
mi .onai do klama lo zarci	Either I or you go to the market.
mi viska lo barda je melbi karce	I see a big and beautiful car.
lo verba cu pinxe lo ladru .a lo jisra	The child drinks milk and/or juice.
lo verba ce lo cmalu cu casnu lo pa karce	The child and someone small discuss a car.
lo najnimre cu barda i je ku'i lo badna cu cmalu	Oranges are big. But bananas are small.
lo nicte cu nu mi viska lo lunra	The night is when I see the Moon.
mi gleki lo nu do klama	I'm happy because you are coming.
mi djica lo nu do klama ti	I want you to come here (to this place)
lo cabna cu nicte	Now it's night. At present it's night.
lo nu pinxe lo ladru cu nabmi mi	Drinking milk is a problem, problematic to me.
